Dataset,Model,Attack methods,Success_rate
German,SVC,BIM,0.807291667
German,SVC,MIM,0.807291667
German,SVC,PGD L1,0.192708333
German,SVC,PGD L2,0.395833333
German,SVC,PGD Linf,0.807291667
COMPAS,SVC,DeepFool,0.797585227
COMPAS,SVC,C&W L2,0.208096591
COMPAS,SVC,C&W Linf,0.217329545
COMPAS,SVC,FGSM L1,0.332386364
COMPAS,SVC,FGSM L2,0.663352273
COMPAS,SVC,FGSM Linf,0.797585227
COMPAS,SVC,BIM,0.797585227
COMPAS,SVC,MIM,0.797585227
COMPAS,SVC,PGD L1,0.371448864
COMPAS,SVC,PGD L2,0.666903409
COMPAS,SVC,PGD Linf,0.797585227
Diabetes,SVC,DeepFool,0.7578125
Diabetes,SVC,C&W L2,0.2578125
Diabetes,SVC,C&W Linf,0.296875
Diabetes,SVC,LowProFool L2,0.7578125
Diabetes,SVC,LowProFool Linf,0.7578125
Diabetes,SVC,FGSM L1,0.375
Diabetes,SVC,FGSM L2,0.6875
Diabetes,SVC,FGSM Linf,0.7578125
Diabetes,SVC,BIM,0.7578125
Diabetes,SVC,MIM,0.7578125
Diabetes,SVC,PGD L1,0.453125
Diabetes,SVC,PGD L2,0.6875
Diabetes,SVC,PGD Linf,0.7578125
Breast Cancer,SVC,DeepFool,0.984375
Breast Cancer,SVC,C&W L2,0.046875
Breast Cancer,SVC,C&W Linf,0.125
Breast Cancer,SVC,LowProFool L2,0.984375
Breast Cancer,SVC,LowProFool Linf,0.984375
Breast Cancer,SVC,FGSM L1,0.046875
Breast Cancer,SVC,FGSM L2,0.484375
Breast Cancer,SVC,FGSM Linf,0.984375
Breast Cancer,SVC,BIM,0.984375
Breast Cancer,SVC,MIM,0.984375
Breast Cancer,SVC,PGD L1,0.046875
Breast Cancer,SVC,PGD L2,0.484375
Breast Cancer,SVC,PGD Linf,0.984375
