Dataset,Attack,Model,Metric,Value
compas,fgsm_l_inf,lr,eval_Sen,2.8214953
compas,fgsm_l_inf,lr,eval_Mahalanobis,0.05759398
compas,fgsm_l_inf,lr,eval_Sparsity,3.931108
compas,fgsm_l_inf,lr,eval_Neighbour_Distance,0.33565882
compas,fgsm_l_inf,svc,eval_L1,1.0022892
compas,fgsm_l_inf,svc,eval_L2,0.5313505
compas,fgsm_l_inf,svc,eval_Linf,0.3
compas,fgsm_l_inf,svc,eval_Sen,2.848533
compas,fgsm_l_inf,svc,eval_Mahalanobis,0.05767623
compas,fgsm_l_inf,svc,eval_Sparsity,3.9360795
compas,fgsm_l_inf,svc,eval_Neighbour_Distance,0.33547705
compas,fgsm_l_inf,nn_2,eval_L1,0.9590501
compas,fgsm_l_inf,nn_2,eval_L2,0.51871276
compas,fgsm_l_inf,nn_2,eval_Linf,0.3
compas,fgsm_l_inf,nn_2,eval_Sen,2.6871328
compas,fgsm_l_inf,nn_2,eval_Mahalanobis,0.056784157
compas,fgsm_l_inf,nn_2,eval_Sparsity,3.9197443
compas,fgsm_l_inf,nn_2,eval_Neighbour_Distance,0.32471547
compas,bim,lr,eval_L1,0.99532634
compas,bim,lr,eval_L2,0.52885723
compas,bim,lr,eval_Linf,0.3
compas,bim,lr,eval_Sen,2.8214953
compas,bim,lr,eval_Mahalanobis,0.05759398
compas,bim,lr,eval_Sparsity,3.931108
compas,bim,lr,eval_Neighbour_Distance,0.33565882
compas,bim,svc,eval_L1,1.0022892
compas,bim,svc,eval_L2,0.5313505
compas,bim,svc,eval_Linf,0.3
compas,bim,svc,eval_Sen,2.848533
compas,bim,svc,eval_Mahalanobis,0.05767623
compas,bim,svc,eval_Sparsity,3.9360795
compas,bim,svc,eval_Neighbour_Distance,0.33547705
compas,bim,nn_2,eval_L1,0.814138
compas,bim,nn_2,eval_L2,0.47171578
compas,bim,nn_2,eval_Linf,0.3
compas,bim,nn_2,eval_Sen,2.1566584
compas,bim,nn_2,eval_Mahalanobis,0.05363741
compas,bim,nn_2,eval_Sparsity,3.8401988
compas,bim,nn_2,eval_Neighbour_Distance,0.2873993
compas,mim,lr,eval_L1,0.99532634
compas,mim,lr,eval_L2,0.52885723
compas,mim,lr,eval_Linf,0.3
compas,mim,lr,eval_Sen,2.8214953
compas,mim,lr,eval_Mahalanobis,0.05759398
compas,mim,lr,eval_Sparsity,3.931108
compas,mim,lr,eval_Neighbour_Distance,0.33565882
compas,mim,svc,eval_L1,1.0022892
compas,mim,svc,eval_L2,0.5313505
compas,mim,svc,eval_Linf,0.3
compas,mim,svc,eval_Sen,2.848533
compas,mim,svc,eval_Mahalanobis,0.05767623
compas,mim,svc,eval_Sparsity,3.9360795
compas,mim,svc,eval_Neighbour_Distance,0.33547705
compas,mim,nn_2,eval_L1,0.9337061
compas,mim,nn_2,eval_L2,0.51094896
compas,mim,nn_2,eval_Linf,0.3
compas,mim,nn_2,eval_Sen,2.5943568
compas,mim,nn_2,eval_Mahalanobis,0.05626136
compas,mim,nn_2,eval_Sparsity,3.9005682
compas,mim,nn_2,eval_Neighbour_Distance,0.31823745
compas,pgd_l_1,lr,eval_L1,0.24696933
compas,pgd_l_1,lr,eval_L2,0.15240876
compas,pgd_l_1,lr,eval_Linf,0.12426074
compas,pgd_l_1,lr,eval_Sen,0.563771
compas,pgd_l_1,lr,eval_Mahalanobis,0.019005919
compas,pgd_l_1,lr,eval_Sparsity,3.931108
compas,pgd_l_1,lr,eval_Neighbour_Distance,0.07271874
compas,pgd_l_1,svc,eval_L1,0.25072634
compas,pgd_l_1,svc,eval_L2,0.15355675
compas,pgd_l_1,svc,eval_Linf,0.120823674
compas,pgd_l_1,svc,eval_Sen,0.58045685
compas,pgd_l_1,svc,eval_Mahalanobis,0.018973425
compas,pgd_l_1,svc,eval_Sparsity,3.9360795
compas,pgd_l_1,svc,eval_Neighbour_Distance,0.07466819
compas,pgd_l_1,nn_2,eval_L1,0.20961238
compas,pgd_l_1,nn_2,eval_L2,0.12625438
compas,pgd_l_1,nn_2,eval_Linf,0.098206304
compas,pgd_l_1,nn_2,eval_Sen,0.5072492
compas,pgd_l_1,nn_2,eval_Mahalanobis,0.015208136
compas,pgd_l_1,nn_2,eval_Sparsity,3.919034
compas,pgd_l_1,nn_2,eval_Neighbour_Distance,0.06308732
compas,pgd_l_2,lr,eval_L1,0.4696156
compas,pgd_l_2,lr,eval_L2,0.2961336
compas,pgd_l_2,lr,eval_Linf,0.24781744
compas,pgd_l_2,lr,eval_Sen,1.0833993
compas,pgd_l_2,lr,eval_Mahalanobis,0.03708051
compas,pgd_l_2,lr,eval_Sparsity,3.931108
compas,pgd_l_2,lr,eval_Neighbour_Distance,0.14397447
compas,pgd_l_2,svc,eval_L1,0.47331488
compas,pgd_l_2,svc,eval_L2,0.2962685
compas,pgd_l_2,svc,eval_Linf,0.24030782
compas,pgd_l_2,svc,eval_Sen,1.109783
compas,pgd_l_2,svc,eval_Mahalanobis,0.036670804
compas,pgd_l_2,svc,eval_Sparsity,3.9360795
compas,pgd_l_2,svc,eval_Neighbour_Distance,0.1465681
compas,pgd_l_2,nn_2,eval_L1,0.46589983
compas,pgd_l_2,nn_2,eval_L2,0.28705117
compas,pgd_l_2,nn_2,eval_Linf,0.22857621
compas,pgd_l_2,nn_2,eval_Sen,1.1318507
compas,pgd_l_2,nn_2,eval_Mahalanobis,0.03486517
compas,pgd_l_2,nn_2,eval_Sparsity,3.9133523
compas,pgd_l_2,nn_2,eval_Neighbour_Distance,0.14350191
compas,pgd_l_inf,lr,eval_L1,0.99532634
compas,pgd_l_inf,lr,eval_L2,0.52885723
compas,pgd_l_inf,lr,eval_Linf,0.3
compas,pgd_l_inf,lr,eval_Sen,2.8214953
compas,pgd_l_inf,lr,eval_Mahalanobis,0.05759398
compas,pgd_l_inf,lr,eval_Sparsity,3.931108
compas,pgd_l_inf,lr,eval_Neighbour_Distance,0.33565882
compas,pgd_l_inf,svc,eval_L1,1.0022892
compas,pgd_l_inf,svc,eval_L2,0.5313505
compas,pgd_l_inf,svc,eval_Linf,0.3
compas,pgd_l_inf,svc,eval_Sen,2.848533
compas,pgd_l_inf,svc,eval_Mahalanobis,0.05767623
compas,pgd_l_inf,svc,eval_Sparsity,3.9360795
compas,pgd_l_inf,svc,eval_Neighbour_Distance,0.33547705
compas,pgd_l_inf,nn_2,eval_L1,0.9337061
compas,pgd_l_inf,nn_2,eval_L2,0.51094896
compas,pgd_l_inf,nn_2,eval_Linf,0.3
compas,pgd_l_inf,nn_2,eval_Sen,2.5943568
compas,pgd_l_inf,nn_2,eval_Mahalanobis,0.05626136
compas,pgd_l_inf,nn_2,eval_Sparsity,3.9005682
compas,pgd_l_inf,nn_2,eval_Neighbour_Distance,0.31823745
