Dataset,Attack,Model,Metric,Value
diabetes,lowprofool_l_inf,nn_2,eval_Sen,1.211998
diabetes,lowprofool_l_inf,nn_2,eval_Mahalanobis,0.114658006
diabetes,lowprofool_l_inf,nn_2,eval_Sparsity,7.5546875
diabetes,lowprofool_l_inf,nn_2,eval_Neighbour_Distance,0.3632214
diabetes,fgsm_l_1,lr,eval_L1,0.29510438
diabetes,fgsm_l_1,lr,eval_L2,0.14210387
diabetes,fgsm_l_1,lr,eval_Linf,0.10411862
diabetes,fgsm_l_1,lr,eval_Sen,0.24675383
diabetes,fgsm_l_1,lr,eval_Mahalanobis,0.025828514
diabetes,fgsm_l_1,lr,eval_Sparsity,7.4375
diabetes,fgsm_l_1,lr,eval_Neighbour_Distance,0.13305959
diabetes,fgsm_l_1,svc,eval_L1,0.2918671
diabetes,fgsm_l_1,svc,eval_L2,0.13896745
diabetes,fgsm_l_1,svc,eval_Linf,0.09588042
diabetes,fgsm_l_1,svc,eval_Sen,0.24925932
diabetes,fgsm_l_1,svc,eval_Mahalanobis,0.02306861
diabetes,fgsm_l_1,svc,eval_Sparsity,7.4609375
diabetes,fgsm_l_1,svc,eval_Neighbour_Distance,0.13063735
diabetes,fgsm_l_1,nn_2,eval_L1,0.287861
diabetes,fgsm_l_1,nn_2,eval_L2,0.11676137
diabetes,fgsm_l_1,nn_2,eval_Linf,0.068291426
diabetes,fgsm_l_1,nn_2,eval_Sen,0.22974789
diabetes,fgsm_l_1,nn_2,eval_Mahalanobis,0.021882592
diabetes,fgsm_l_1,nn_2,eval_Sparsity,7.5390625
diabetes,fgsm_l_1,nn_2,eval_Neighbour_Distance,0.11299315
diabetes,fgsm_l_2,lr,eval_L1,0.62021154
diabetes,fgsm_l_2,lr,eval_L2,0.2987955
diabetes,fgsm_l_2,lr,eval_Linf,0.21895398
diabetes,fgsm_l_2,lr,eval_Sen,0.51870644
diabetes,fgsm_l_2,lr,eval_Mahalanobis,0.0542715
diabetes,fgsm_l_2,lr,eval_Sparsity,7.4375
diabetes,fgsm_l_2,lr,eval_Neighbour_Distance,0.21401392
diabetes,fgsm_l_2,svc,eval_L1,0.62574494
diabetes,fgsm_l_2,svc,eval_L2,0.29827064
diabetes,fgsm_l_2,svc,eval_Linf,0.20605722
diabetes,fgsm_l_2,svc,eval_Sen,0.53454036
diabetes,fgsm_l_2,svc,eval_Mahalanobis,0.049464807
diabetes,fgsm_l_2,svc,eval_Sparsity,7.4609375
diabetes,fgsm_l_2,svc,eval_Neighbour_Distance,0.21638478
diabetes,fgsm_l_2,nn_2,eval_L1,0.72336245
diabetes,fgsm_l_2,nn_2,eval_L2,0.29355282
diabetes,fgsm_l_2,nn_2,eval_Linf,0.17144808
diabetes,fgsm_l_2,nn_2,eval_Sen,0.57740325
diabetes,fgsm_l_2,nn_2,eval_Mahalanobis,0.05496416
diabetes,fgsm_l_2,nn_2,eval_Sparsity,7.5390625
diabetes,fgsm_l_2,nn_2,eval_Neighbour_Distance,0.21618468
diabetes,fgsm_l_inf,lr,eval_L1,2.103657
diabetes,fgsm_l_inf,lr,eval_L2,0.7841688
diabetes,fgsm_l_inf,lr,eval_Linf,0.3
diabetes,fgsm_l_inf,lr,eval_Sen,1.6909574
diabetes,fgsm_l_inf,lr,eval_Mahalanobis,0.13749586
diabetes,fgsm_l_inf,lr,eval_Sparsity,7.4375
diabetes,fgsm_l_inf,lr,eval_Neighbour_Distance,0.49235752
diabetes,fgsm_l_inf,svc,eval_L1,2.0919464
diabetes,fgsm_l_inf,svc,eval_L2,0.7807993
diabetes,fgsm_l_inf,svc,eval_Linf,0.3
diabetes,fgsm_l_inf,svc,eval_Sen,1.6867117
diabetes,fgsm_l_inf,svc,eval_Mahalanobis,0.13423945
diabetes,fgsm_l_inf,svc,eval_Sparsity,7.4609375
diabetes,fgsm_l_inf,svc,eval_Neighbour_Distance,0.47830263
diabetes,fgsm_l_inf,nn_2,eval_L1,2.1600497
diabetes,fgsm_l_inf,nn_2,eval_L2,0.7938985
diabetes,fgsm_l_inf,nn_2,eval_Linf,0.3
diabetes,fgsm_l_inf,nn_2,eval_Sen,1.7463723
diabetes,fgsm_l_inf,nn_2,eval_Mahalanobis,0.14632063
diabetes,fgsm_l_inf,nn_2,eval_Sparsity,7.5390625
diabetes,fgsm_l_inf,nn_2,eval_Neighbour_Distance,0.44511086
diabetes,bim,lr,eval_L1,2.103657
diabetes,bim,lr,eval_L2,0.7841688
diabetes,bim,lr,eval_Linf,0.3
diabetes,bim,lr,eval_Sen,1.6909574
diabetes,bim,lr,eval_Mahalanobis,0.13749586
diabetes,bim,lr,eval_Sparsity,7.4375
diabetes,bim,lr,eval_Neighbour_Distance,0.49235752
diabetes,bim,svc,eval_L1,2.0919464
diabetes,bim,svc,eval_L2,0.7807993
diabetes,bim,svc,eval_Linf,0.3
diabetes,bim,svc,eval_Sen,1.6867117
diabetes,bim,svc,eval_Mahalanobis,0.13423945
diabetes,bim,svc,eval_Sparsity,7.4609375
diabetes,bim,svc,eval_Neighbour_Distance,0.47830263
diabetes,bim,nn_2,eval_L1,2.1187303
diabetes,bim,nn_2,eval_L2,0.7765008
diabetes,bim,nn_2,eval_Linf,0.3
diabetes,bim,nn_2,eval_Sen,1.7091813
diabetes,bim,nn_2,eval_Mahalanobis,0.14581744
diabetes,bim,nn_2,eval_Sparsity,7.8203125
diabetes,bim,nn_2,eval_Neighbour_Distance,0.4289562
diabetes,mim,lr,eval_L1,2.103657
diabetes,mim,lr,eval_L2,0.7841688
diabetes,mim,lr,eval_Linf,0.3
diabetes,mim,lr,eval_Sen,1.6909574
diabetes,mim,lr,eval_Mahalanobis,0.13749586
diabetes,mim,lr,eval_Sparsity,7.4375
diabetes,mim,lr,eval_Neighbour_Distance,0.49235752
diabetes,mim,svc,eval_L1,2.0919464
diabetes,mim,svc,eval_L2,0.7807993
diabetes,mim,svc,eval_Linf,0.3
diabetes,mim,svc,eval_Sen,1.6867117
diabetes,mim,svc,eval_Mahalanobis,0.13423945
diabetes,mim,svc,eval_Sparsity,7.4609375
diabetes,mim,svc,eval_Neighbour_Distance,0.47830263
diabetes,mim,nn_2,eval_L1,2.1889324
diabetes,mim,nn_2,eval_L2,0.79991764
diabetes,mim,nn_2,eval_Linf,0.3
diabetes,mim,nn_2,eval_Sen,1.7691107
diabetes,mim,nn_2,eval_Mahalanobis,0.14922187
diabetes,mim,nn_2,eval_Sparsity,7.625
diabetes,mim,nn_2,eval_Neighbour_Distance,0.4518682
diabetes,pgd_l_1,lr,eval_L1,0.29999992
diabetes,pgd_l_1,lr,eval_L2,0.14454839
diabetes,pgd_l_1,lr,eval_Linf,0.10585488
diabetes,pgd_l_1,lr,eval_Sen,0.25089315
diabetes,pgd_l_1,lr,eval_Mahalanobis,0.026265405
diabetes,pgd_l_1,lr,eval_Sparsity,7.4375
diabetes,pgd_l_1,lr,eval_Neighbour_Distance,0.13497353
diabetes,pgd_l_1,svc,eval_L1,0.29999992
diabetes,pgd_l_1,svc,eval_L2,0.14302886
diabetes,pgd_l_1,svc,eval_Linf,0.098683804
diabetes,pgd_l_1,svc,eval_Sen,0.25622004
diabetes,pgd_l_1,svc,eval_Mahalanobis,0.023752805
diabetes,pgd_l_1,svc,eval_Sparsity,7.4609375
diabetes,pgd_l_1,svc,eval_Neighbour_Distance,0.13359903
diabetes,pgd_l_1,nn_2,eval_L1,0.29999992
diabetes,pgd_l_1,nn_2,eval_L2,0.12207085
diabetes,pgd_l_1,nn_2,eval_Linf,0.071378954
diabetes,pgd_l_1,nn_2,eval_Sen,0.2396187
diabetes,pgd_l_1,nn_2,eval_Mahalanobis,0.022853468
diabetes,pgd_l_1,nn_2,eval_Sparsity,7.546875
diabetes,pgd_l_1,nn_2,eval_Neighbour_Distance,0.11735075
diabetes,pgd_l_2,lr,eval_L1,0.623246
diabetes,pgd_l_2,lr,eval_L2,0.29999992
diabetes,pgd_l_2,lr,eval_Linf,0.21911381
diabetes,pgd_l_2,lr,eval_Sen,0.52152425
diabetes,pgd_l_2,lr,eval_Mahalanobis,0.054427102
diabetes,pgd_l_2,lr,eval_Sparsity,7.4375
diabetes,pgd_l_2,lr,eval_Neighbour_Distance,0.21447718
diabetes,pgd_l_2,svc,eval_L1,0.6285755
diabetes,pgd_l_2,svc,eval_L2,0.29999992
diabetes,pgd_l_2,svc,eval_Linf,0.20740688
diabetes,pgd_l_2,svc,eval_Sen,0.53715295
diabetes,pgd_l_2,svc,eval_Mahalanobis,0.04969027
diabetes,pgd_l_2,svc,eval_Sparsity,7.4609375
diabetes,pgd_l_2,svc,eval_Neighbour_Distance,0.21686688
diabetes,pgd_l_2,nn_2,eval_L1,0.74005026
diabetes,pgd_l_2,nn_2,eval_L2,0.29999992
diabetes,pgd_l_2,nn_2,eval_Linf,0.17490508
diabetes,pgd_l_2,nn_2,eval_Sen,0.59131044
diabetes,pgd_l_2,nn_2,eval_Mahalanobis,0.056219693
diabetes,pgd_l_2,nn_2,eval_Sparsity,7.5546875
diabetes,pgd_l_2,nn_2,eval_Neighbour_Distance,0.21786746
diabetes,pgd_l_inf,lr,eval_L1,2.103657
diabetes,pgd_l_inf,lr,eval_L2,0.7841688
diabetes,pgd_l_inf,lr,eval_Linf,0.3
diabetes,pgd_l_inf,lr,eval_Sen,1.6909574
diabetes,pgd_l_inf,lr,eval_Mahalanobis,0.13749586
diabetes,pgd_l_inf,lr,eval_Sparsity,7.4375
diabetes,pgd_l_inf,lr,eval_Neighbour_Distance,0.49235752
diabetes,pgd_l_inf,svc,eval_L1,2.0919464
diabetes,pgd_l_inf,svc,eval_L2,0.7807993
diabetes,pgd_l_inf,svc,eval_Linf,0.3
diabetes,pgd_l_inf,svc,eval_Sen,1.6867117
diabetes,pgd_l_inf,svc,eval_Mahalanobis,0.13423945
diabetes,pgd_l_inf,svc,eval_Sparsity,7.4609375
diabetes,pgd_l_inf,svc,eval_Neighbour_Distance,0.47830263
diabetes,pgd_l_inf,nn_2,eval_L1,2.1889324
diabetes,pgd_l_inf,nn_2,eval_L2,0.79991764
diabetes,pgd_l_inf,nn_2,eval_Linf,0.3
diabetes,pgd_l_inf,nn_2,eval_Sen,1.7691107
diabetes,pgd_l_inf,nn_2,eval_Mahalanobis,0.14922187
diabetes,pgd_l_inf,nn_2,eval_Sparsity,7.625
diabetes,pgd_l_inf,nn_2,eval_Neighbour_Distance,0.4518682
