Dataset,Attack,Model,Metric,Value
german,fgsm_l_inf,svc,eval_L1,1.1893864
german,fgsm_l_inf,svc,eval_L2,0.5839727
german,fgsm_l_inf,svc,eval_Linf,0.3
german,fgsm_l_inf,svc,eval_Sen,1.1177655
german,fgsm_l_inf,svc,eval_Mahalanobis,0.15205401
german,fgsm_l_inf,svc,eval_Sparsity,4.3125
german,fgsm_l_inf,svc,eval_Neighbour_Distance,0.5832271
german,fgsm_l_inf,nn_2,eval_L1,1.2242166
german,fgsm_l_inf,nn_2,eval_L2,0.593219
german,fgsm_l_inf,nn_2,eval_Linf,0.3
german,fgsm_l_inf,nn_2,eval_Sen,1.1396774
german,fgsm_l_inf,nn_2,eval_Mahalanobis,0.16544357
german,fgsm_l_inf,nn_2,eval_Sparsity,4.421875
german,fgsm_l_inf,nn_2,eval_Neighbour_Distance,0.5928398
german,bim,lr,eval_L1,1.1881629
german,bim,lr,eval_L2,0.5837363
german,bim,lr,eval_Linf,0.3
german,bim,lr,eval_Sen,1.1172009
german,bim,lr,eval_Mahalanobis,0.1519429
german,bim,lr,eval_Sparsity,4.3072915
german,bim,lr,eval_Neighbour_Distance,0.5829907
german,bim,svc,eval_L1,1.1893864
german,bim,svc,eval_L2,0.5839727
german,bim,svc,eval_Linf,0.3
german,bim,svc,eval_Sen,1.1177655
german,bim,svc,eval_Mahalanobis,0.15205401
german,bim,svc,eval_Sparsity,4.3125
german,bim,svc,eval_Neighbour_Distance,0.5832271
german,bim,nn_2,eval_L1,1.0331749
german,bim,nn_2,eval_L2,0.53006756
german,bim,nn_2,eval_Linf,0.29944855
german,bim,nn_2,eval_Sen,0.96662277
german,bim,nn_2,eval_Mahalanobis,0.14152347
german,bim,nn_2,eval_Sparsity,4.21875
german,bim,nn_2,eval_Neighbour_Distance,0.5296625
german,mim,lr,eval_L1,1.1881629
german,mim,lr,eval_L2,0.5837363
german,mim,lr,eval_Linf,0.3
german,mim,lr,eval_Sen,1.1172009
german,mim,lr,eval_Mahalanobis,0.1519429
german,mim,lr,eval_Sparsity,4.3072915
german,mim,lr,eval_Neighbour_Distance,0.5829907
german,mim,svc,eval_L1,1.1893864
german,mim,svc,eval_L2,0.5839727
german,mim,svc,eval_Linf,0.3
german,mim,svc,eval_Sen,1.1177655
german,mim,svc,eval_Mahalanobis,0.15205401
german,mim,svc,eval_Sparsity,4.3125
german,mim,svc,eval_Neighbour_Distance,0.5832271
german,mim,nn_2,eval_L1,1.1868799
german,mim,nn_2,eval_L2,0.58257747
german,mim,nn_2,eval_Linf,0.3
german,mim,nn_2,eval_Sen,1.1130184
german,mim,nn_2,eval_Mahalanobis,0.15947743
german,mim,nn_2,eval_Sparsity,4.328125
german,mim,nn_2,eval_Neighbour_Distance,0.5821575
german,pgd_l_1,lr,eval_L1,0.0988293
german,pgd_l_1,lr,eval_L2,0.05249065
german,pgd_l_1,lr,eval_Linf,0.033006676
german,pgd_l_1,lr,eval_Sen,0.10630139
german,pgd_l_1,lr,eval_Mahalanobis,0.011214927
