Dataset,Attack,Model,Metric,Value
compas,mim,svc,pred_attack_success,1.0
compas,mim,svc,original_accuracy,0.7975852272727273
compas,mim,svc,robust_accuracy,0.20241477272727273
compas,mim,nn_2,groundtruth_attack_success,0.8089488636363636
compas,mim,nn_2,pred_attack_success,1.0
compas,mim,nn_2,original_accuracy,0.8089488636363636
compas,mim,nn_2,robust_accuracy,0.19105113636363635
compas,pgd_l_1,lr,groundtruth_attack_success,0.34232954545454547
compas,pgd_l_1,lr,pred_attack_success,0.4382102272727273
compas,pgd_l_1,lr,original_accuracy,0.7933238636363636
compas,pgd_l_1,lr,robust_accuracy,0.6576704545454546
compas,pgd_l_1,svc,groundtruth_attack_success,0.37144886363636365
compas,pgd_l_1,svc,pred_attack_success,0.4772727272727273
compas,pgd_l_1,svc,original_accuracy,0.7975852272727273
compas,pgd_l_1,svc,robust_accuracy,0.6285511363636364
compas,pgd_l_1,nn_2,groundtruth_attack_success,0.3799715909090909
compas,pgd_l_1,nn_2,pred_attack_success,0.4786931818181818
compas,pgd_l_1,nn_2,original_accuracy,0.8089488636363636
compas,pgd_l_1,nn_2,robust_accuracy,0.6200284090909091
compas,pgd_l_2,lr,groundtruth_attack_success,0.5958806818181818
compas,pgd_l_2,lr,pred_attack_success,0.7911931818181818
compas,pgd_l_2,lr,original_accuracy,0.7933238636363636
compas,pgd_l_2,lr,robust_accuracy,0.4041193181818182
compas,pgd_l_2,svc,groundtruth_attack_success,0.6669034090909091
compas,pgd_l_2,svc,pred_attack_success,0.8607954545454546
compas,pgd_l_2,svc,original_accuracy,0.7975852272727273
compas,pgd_l_2,svc,robust_accuracy,0.3330965909090909
compas,pgd_l_2,nn_2,groundtruth_attack_success,0.6647727272727273
compas,pgd_l_2,nn_2,pred_attack_success,0.8416193181818182
compas,pgd_l_2,nn_2,original_accuracy,0.8089488636363636
compas,pgd_l_2,nn_2,robust_accuracy,0.3352272727272727
compas,pgd_l_inf,lr,groundtruth_attack_success,0.7926136363636364
compas,pgd_l_inf,lr,pred_attack_success,0.9992897727272727
compas,pgd_l_inf,lr,original_accuracy,0.7933238636363636
compas,pgd_l_inf,lr,robust_accuracy,0.20738636363636365
compas,pgd_l_inf,svc,groundtruth_attack_success,0.7975852272727273
compas,pgd_l_inf,svc,pred_attack_success,1.0
compas,pgd_l_inf,svc,original_accuracy,0.7975852272727273
compas,pgd_l_inf,svc,robust_accuracy,0.20241477272727273
compas,pgd_l_inf,nn_2,groundtruth_attack_success,0.8089488636363636
compas,pgd_l_inf,nn_2,pred_attack_success,1.0
compas,pgd_l_inf,nn_2,original_accuracy,0.8089488636363636
compas,pgd_l_inf,nn_2,robust_accuracy,0.19105113636363635
